weekNumber,weekStart,weekEnd,Mon,Tue,Wed,Thu,Fri,Sat,Sun
1,2021/9/7,2021/9/13,0,1,1,1,1,1,1
2,2021/9/14,2021/9/20,1,1,1,1,1,1,1
3,2021/9/21,2021/9/27,1,1,1,1,1,0,0
4,2021/9/28,2021/10/4,1,1,1,0,0,0,0
5,2021/10/5,2021/10/11,0,0,0,1,1,0,1
6,2021/10/12,2021/10/18,1,1,1,1,1,1,1
7,2021/10/19,2021/10/25,1,1,1,1,1,1,1
8,2021/10/26,2021/11/1,1,1,1,1,1,1,1
9,2021/11/2,2021/11/8,1,1,1,1,0,0,1
10,2021/11/9,2021/11/15,1,1,1,1,1,1,1
11,2021/11/16,2021/11/22,1,1,1,1,1,1,1
12,2021/11/23,2021/11/29,1,1,1,1,1,1,1
13,2021/11/30,2021/12/6,1,1,1,1,1,1,1
14,2021/12/7,2021/12/13,1,1,1,1,1,1,1
15,2021/12/14,2021/12/20,1,1,1,1,1,1,1
16,2021/12/21,2021/12/27,1,1,1,1,1,1,1
17,2021/12/28,2022/1/3,1,1,1,1,0,0,0
18,2022/1/4,2022/1/10,1,1,1,1,1,1,1
19,2022/1/11,2022/1/17,1,1,1,1,1,1,1